1,202401011001,1,11111111111
1,202401011128,1,10000000001
1,202401011204,1,10000000000
1,202401011204,2,11111111111
1,202401011325,2,10000000001
1,202401011400,2,10000000000
1,202401011809,1,18971895627
1,202401012024,1,17826548412
1,202401012041,2,18971895627
1,202401012156,2,17826548412
2,202401020800,1,22222222222
2,202401020825,1,10000000002
2,202401021015,2,10000000002
2,202401021212,2,22222222222
2,202401021359,1,10000000003
2,202401021418,1,22222222222
2,202401021527,2,10000000003
2,202401021601,2,22222222222
2,202401021745,1,15862481573
2,202401022030,2,15862481573
3,202401030715,1,10000000004
3,202401030830,1,33333333333
3,202401030927,1,10000000005
3,202401031015,2,33333333333
3,202401031045,2,10000000005
3,202401031215,2,10000000004
3,202401031400,1,10000000004
3,202401031545,1,17720455603
3,202401031600,2,10000000004
3,202401031608,2,17720455603
3,202401032045,1,33333333333
3,202401032230,1,33333333333
4,202401040947,1,17720455985
4,202401040955,1,20000000000
4,202401041026,2,17720455985
4,202401041028,2,20000000000
4,202401041028,1,44444444444
4,202401041124,1,10000000006
4,202401041158,2,44444444444
4,202401041205,2,10000000006
4,202401041402,1,10000000007
4,202401041528,2,10000000007
4,202401041601,1,10000000007
4,202401041618,1,22222222222
4,202401041725,2,22222222222
4,202401041730,1,17720455985
4,202401041744,2,10000000007
4,202401042024,2,17720455985
5,202401050900,1,55555555555
5,202401050926,1,10000000008
5,202401051015,1,33333333333
5,202401051030,2,55555555555
5,202401051156,2,10000000008
5,202401051215,2,33333333333
5,202401051504,1,10000000004
5,202401051820,2,10000000004
